name,hs type
MillScript,coding
MIMIC,coding
Mirah,coding
Miranda,coding
MIVA Script,coding
ML,coding
Moby,coding
Model 204,coding
Modelica,coding
Modula,coding
Modula-2,coding
Modula-3,coding
Mohol,coding
MOO,coding
Mortran,coding
Mouse,coding
MPD,coding
CIL,coding
MSL,coding
MUMPS,coding
NASM,coding
NATURAL,coding
Napier88,coding
Neko,coding
Nemerle,coding
nesC,coding
NESL,coding
Net.Data,coding
NetLogo,coding
NetRexx,coding
NewLISP,coding
NEWP,coding
Newspeak,coding
NewtonScript,coding
NGL,coding
Nial,coding
Nice,coding
Nickle,coding
NPL,coding
Not eXactly C,coding
Not Quite C,coding
NSIS,coding
Nu,coding
NWScript,coding
NXT-G,coding
o:XML,coding
Oak,coding
Oberon,coding
Obix,coding
OBJ2,coding
Object Lisp,coding
ObjectLOGO,coding
Object REXX,coding
Object Pascal,coding
Objective-C,coding
Objective-J,coding
Obliq,coding
Obol,coding
OCaml,coding
occam,coding
occam-π,coding
Octave,coding
OmniMark,coding
Onyx,coding
Opa,coding
Opal,coding
OpenCL,coding
OpenEdge ABL,coding
OPL,coding
OPS5,coding
OptimJ,coding
Orc,coding
ORCA/Modula-2,coding
Oriel,coding
Orwell,coding
Oxygene,coding
Oz,coding
P#,coding
ParaSail (programming language),coding
PARI/GP,coding
Pascal,coding
Pawn,coding
PCASTL,coding
PCF,coding
PEARL,coding
PeopleCode,coding
Perl,coding
PDL,coding
PHP,coding
Phrogram,coding
Pico,coding
Picolisp,coding
Pict,coding
Pike,coding
PIKT,coding
PILOT,coding
Pipelines,coding
Pizza,coding
PL-11,coding
PL/0,coding
PL/B,coding
PL/C,coding
PL/I,coding
PL/M,coding
PL/P,coding
PL/SQL,coding
PL360,coding
PLANC,coding
Plankalkül,coding
Planner,coding
PLEX,coding
PLEXIL,coding
Plus,coding
POP-11,coding
PostScript,coding
PortablE,coding
Powerhouse,coding
PowerBuilder,coding
PowerShell,coding
PPL,coding
Processing,coding
Processing.js,coding
Prograph,coding
PROIV,coding
Prolog,coding
PROMAL,coding
Promela,coding
PROSE modeling language,coding
PROTEL,coding
ProvideX,coding
Pro*C,coding
Pure,coding
Python,coding
Q (equational programming language),coding
Q (programming language from Kx Systems),coding
Qalb,coding
Qi,coding
QtScript,coding
QuakeC,coding
QPL,coding
R,coding
R++,coding
Racket,coding
RAPID,coding
Rapira,coding
Ratfiv,coding
Ratfor,coding
rc,coding
REBOL,coding
Red,coding
Redcode,coding
REFAL,coding
Reia,coding
Revolution,coding
rex,coding
REXX,coding
Rlab,coding
RobotC,coding
ROOP,coding
RPG,coding
RPL,coding
RSL,coding
RTL/2,coding
Ruby,coding
RuneScript,coding
Rust,coding
S,coding
S2,coding
S3,coding
S-Lang,coding
S-PLUS,coding
SA-C,coding
SabreTalk,coding
SAIL,coding
SALSA,coding
SAM76,coding
SAS,coding
SASL,coding
Sather,coding
Sawzall,coding
SBL,coding
Scala,coding
Scheme,coding
Scilab,coding
Scratch,coding
Script.NET,coding
Sed,coding
Seed7,coding
Self,coding
SenseTalk,coding
SequenceL,coding
SETL,coding
Shift Script,coding
SIMPOL,coding
Shakespeare,coding
SIGNAL,coding
SiMPLE,coding
SIMSCRIPT,coding
Simula,coding
Simulink,coding
SISAL,coding
SLIP,coding
SMALL,coding
Smalltalk,coding
Small Basic,coding
SML,coding
Snap!,coding
SNOBOL,coding
SPITBOL,coding
Snowball,coding
SOL,coding
Span,coding
SPARK,coding
SPIN,coding
SP/k,coding
SPS,coding
Squeak,coding
Squirrel,coding
SR,coding
S/SL,coding
Stackless Python,coding
Starlogo,coding
Strand,coding
Stata,coding
Stateflow,coding
Subtext,coding
SuperCollider,coding
SuperTalk,coding
Swift (Apple programming language),coding
Swift (parallel scripting language),coding
SYMPL,coding
SyncCharts,coding
SystemVerilog,coding
T,coding
TACL,coding
TACPOL,coding
TADS,coding
TAL,coding
Tcl,coding
Tea,coding
TECO,coding
TELCOMP,coding
TeX,coding
TIE,coding
Timber,coding
TMG,coding
Tom,coding
Topspeed,coding
TPU,coding
Trac,coding
TTM,coding
T-SQL,coding
TTCN,coding
Turing,coding
TUTOR,coding
TXL,coding
TypeScript,coding
Turbo C++,coding
Ubercode,coding
UCSD Pascal,coding
Umple,coding
Unicon,coding
Uniface,coding
UNITY,coding
Unix shell,coding
UnrealScript,coding
Vala,coding
VBA,coding
VBScript,coding
Verilog,coding
VHDL,coding
Visual Basic,coding
Visual Basic .NET,coding
Visual DataFlex,coding
Visual DialogScript,coding
Visual Fortran,coding
Visual FoxPro,coding
Visual J++,coding
Visual J#,coding
Visual Objects,coding
Visual Prolog,coding
VSXu,coding
Vvvv,coding
"WATFIV, WATFOR",coding
WebDNA,coding
WebQL,coding
Windows PowerShell,coding
Winbatch,coding
Wolfram,coding
Wyvern,coding
X++,coding
X#,coding
X10,coding
XBL,coding
XC,coding
XMOS architecture,coding
xHarbour,coding
XL,coding
Xojo,coding
XOTcl,coding
XPL,coding
XPL0,coding
XQuery,coding
XSB,coding
XSLT,coding
XPath,coding
Xtend,coding
Yorick,coding
YQL,coding
Z notation,coding
Zeno,coding
ZOPL,coding
ZPL,coding
AdsML,coding
aecXML,coding
AOS,coding
AIML,coding
AnIML,coding
Atom,coding
APML,coding
ATML,coding
Attention.xml,coding
Auto-lead Data Format,coding
BeerXML,coding
Binary Format Description language,coding
BDML,coding
BIML,coding
Call Control eXtensible Markup Language,coding
CCTRL,coding
CellML,coding
Channel Definition Format,coding
Chemical Markup Language,coding
ClaML ,coding
Clinical Data Interchange Standards Consortium,coding
CDA,coding
COLLADA,coding
CAP,coding
CXML,coding
DITA,coding
DCML,coding
Digital Forensics XML,coding
DML,coding
DSML,coding
DocBook,coding
DSDL,coding
Document Structure Description,coding
EAC,coding
EAD,coding
ebXML,coding
eLML,coding
EMML,coding
EPPML,coding
EPUB,coding
Extensible Application Markup Language,coding
Extensible Data Format,coding
Extensible Messaging and Presence Protocol,coding
Extensible Provisioning Protocol,coding
Extensible Resource Identifier,coding
Extensible Stylesheet Language,coding
Facelets VDL,coding
FicML,coding
FictionBook,coding
FIXatdl,coding
FIXML,coding
FleXML,coding
FpML,coding
FXT,coding
GML,coding
GeoSciML,coding
GJXDM,coding
GPX,coding
GraphML,coding
gbXML,coding
GXA,coding
GXL,coding
HumanML,coding
Industry Foundation Classes,coding
Information and Content Exchange,coding
IODD,coding
JATS,coding
Java Speech Markup Language,coding
Job Definition Format,coding
Job Submission Description Language,coding
Keyhole Markup Language,coding
Link contract,coding
LOGML,coding
MARCXML,coding
MathML,coding
MRML,coding
Metadata Object Description Schema,coding
Microformats,coding
MOWL,coding
MEI,coding
Music Markup Language,coding
MusicXML,coding
MXML,coding
Namespace-based Validation Dispatching Language,coding
National Information Exchange Model,coding
Nested Context Language,coding
NewsML,coding
NewsML-G2,coding
NeXML,coding
NeuroML,coding
ODD,coding
ODRL,coding
Office Open XML,coding
OFX,coding
OIOXML,coding
OMDoc,coding
OML,coding
Open eBook,coding
OSIS,coding
ODF,coding
OpenMath,coding
OPML,coding
phyloXML,coding
PMML,coding
PNML,coding
PDBML,coding
RailML,coding
RDFa,coding
RecipeML,coding
Regular Language description for XML,coding
RELAX NG,coding
RTML,coding
Resource Description Framework,coding
RoadXML,coding
RSS,coding
RSS enclosure,coding
RuleML,coding
S5 file format,coding
SAML,coding
SBML,coding
SBGN,coding
Schematron,coding
SCORM,coding
SCXML,coding
Simple Sharing Extensions,coding
SMIL,coding
SOAP,coding
SOAP with Attachments,coding
SALT,coding
SSML,coding
SPML,coding
StratML,coding
Streaming Transformations for XML,coding
SVG,coding
SXBL,coding
Text Encoding Initiative,coding
ThML,coding
Topicmaps,coding
TransducerML,coding
TMX,coding
TREX,coding
Unified XUL Platform,coding
Universal Description Discovery and Integration,coding
VML,coding
Vexi,coding
VoiceXML,coding
W3C MMI,coding
WDDX,coding
WaterML,coding
Web feed,coding
Web Ontology Language,coding
Web Services Description Language,coding
Web Services Dynamic Discovery,coding
Wellsite information transfer standard markup language,coding
WML,coding
WiX,coding
WordprocessingML,coding
WS-Policy,coding
X3D,coding
XAML,coding
XACML,coding
XBEL ,coding
XBRL,coding
xCBL,coding
xCal,coding
XCES,coding
