city,latitude,longitude
New York,40.726353535332066,-73.99887738757988
Austin,30.299579933333305,-97.74723517333346
Washington,38.81184305333342,-77.10893740444438
Houston,29.769764470319654,-95.40121735159836
Chicago,41.86125423369554,-87.64753903804355
San Francisco,37.77921611904755,-122.41062674404755
San Diego,32.7855290131579,-117.1622889407894
Seattle,47.60622955862065,-122.33264648275882
Los Angeles,34.05004456338023,-118.26994934507026
Dallas,32.837623850000035,-96.68033039999995
Boston,42.35691611666673,-71.06053320833327
Atlanta,33.78071227966095,-84.39101190677968
Arlington,38.27785698230091,-81.06027298230076
Denver,39.736849699029094,-104.97536216504867
Charlotte,35.28744051041665,-80.89484228125006
Columbus,39.797484851063786,-83.33203560638293
San Jose,37.346285292134866,-121.9009345617977
Phoenix,33.48895734090908,-112.06575818181827
Irvine,33.666919965517266,-117.79737424137929
Portland,45.283988923076954,-118.85505256410251
Baltimore,39.29680977777775,-76.6125224444444
Orlando,28.529842126760574,-81.35172564788732
Philadelphia,39.95877853521127,-75.16438938028169
San Antonio,29.467045599999988,-98.50718378571425
St. Louis,38.631927275362294,-90.24902162318845
Richmond,37.54819679104477,-80.25236576119403
Salt Lake City,40.74459550000001,-111.88920496969703
Raleigh,35.78215524590163,-78.6532070327869
Nashville,36.22889839344262,-86.86060427868851
Springfield,39.090750105263155,-85.38200812280702
Sunnyvale,37.37162319298241,-122.02980929824571
Las Vegas,36.150269500000014,-115.15293507142852
Kansas City,39.06845436363634,-94.5769664363636
Minneapolis,44.97433619999999,-93.28575938181815
Columbia,36.98934239622642,-81.7652044528302
Cleveland,40.72376171698111,-82.93264022641509
Herndon,38.9633915283019,-77.38889581132078
Remote,25.0,-40.0
Pittsburgh,40.45220052941178,-79.99087196078433
Fort Worth,32.74479845098039,-97.34122568627454
Cincinnati,39.158042640000005,-84.45917853999998
Reston,38.96167065306124,-77.34320487755107
Bellevue,47.21966712244899,-120.3205991632653
Mountain View,37.39808012500001,-122.08283512500002
Tampa,27.979342212765967,-82.44568025531917
Madison,42.61971906382978,-88.84406634042554
Milwaukee,43.039052413043486,-87.92168584782604
Jacksonville,30.354328826086963,-81.94300760869567
Colorado Springs,38.862949652173896,-104.79436782608693
Irving,32.84329106666667,-96.95411953333337
Santa Clara,37.3646921590909,-121.96024818181819
Rochester,43.22010018604653,-80.34994204651166
Miami,25.788762953488362,-80.22972709302321
Brooklyn,40.66518642857144,-73.96407809523807
Huntsville,34.62598535714285,-86.82277419047621
Albany,42.58105192682925,-78.83660253658536
Indianapolis,39.81972626829268,-86.1541776829268
Greenville,35.75398605128205,-81.07341584615381
Louisville,38.37001877777778,-87.33290605555558
