Role,jobtitle,company,city,state,country,language,formattedLocation,source,date,snippet,url,onmousedown,latitude,longitude,jobkey,sponsored,expired,indeedApply,formattedLocationFull,formattedRelativeTime,stations
Data Analyst,Senior System Analyst Professional Services,Engazaat,,,EG,en,مصر,Engazaat,14/10/2018 13:41,"Leading software projects end to end, supporting and coordinating all the activities of system analysts and <b>analyst</b> programmers.",http://eg.indeed.com/viewjob?jk=6a269af7d54a6644&qd=_2otc9hbdFJBv5z8Fcdsn_VkPXhcvUX1HZ749DIVJhgFp4P5n2fNSScfjcUmJdU3ae_jCRRz8xvs6YSlRzVjZh-O-f9RjGDfZdIwpVVQP4Y&indpubnum=9091824477922251&atk=1dlmkgpndobp8800,"indeed_clk(this,'4525');",,,6a269af7d54a6644,FALSE,FALSE,TRUE,مصر,منذ 11 شهر,
Data Analyst,SENIOR SOFTWARE ENGINEER,Infoware Studios,,,ZA,en,South Africa,Infoware Studios,15/10/2018 11:09,Pair with business <b>analysts</b> and testers during functional verification and testing. Infoware Studios is an exuberant & quirky business transformation technology…,http://www.indeed.co.za/viewjob?jk=b3d996ca5321ff92&qd=_2otc9hbdFJBv5z8Fcdsn_VkPXhcvUX1HZ749DIVJhgjvA5GduQUuYYP0Z8IBpVCae_jCRRz8xvs6YSlRzVjZr0EbF7-cqBPhXdvdk1VMY0&indpubnum=9091824477922251&atk=1dlmkgb5pbm9h801,"indeed_clk(this,'9625');",,,b3d996ca5321ff92,FALSE,FALSE,FALSE,South Africa,11 months ago,
Data Analyst,Manufacturing Junior Systems Analyst - K-Way - Cape Town,Cape Union Mart,Southern Suburbs,WC,ZA,en,"Southern Suburbs, Western Cape",Cape Union Mart,18/10/2018 05:09,"The Cape Union Mart is currently in search of a proactive Junior Systems <b>Analyst</b> with a passion for IT, <b>data</b>, testing and most importantly be solutions driven.",http://www.indeed.co.za/viewjob?jk=e6b6f4024cbf73f5&qd=_2otc9hbdFJBv5z8Fcdsn_VkPXhcvUX1HZ749DIVJhgjvA5GduQUuYYP0Z8IBpVCae_jCRRz8xvs6YSlRzVjZhHM4AdWZE2KsyqCQqhKBuw&indpubnum=9091824477922251&atk=1dlmkg20movv9800,"indeed_clk(this,'245');",-33.98333,18.475,e6b6f4024cbf73f5,FALSE,FALSE,FALSE,"Southern Suburbs, Western Cape",11 months ago,
Data Analyst,IT Solutions Architect & Designer,Segmatek,الجيزة,GZ,EG,en,الجيزة,Segmatek,18/10/2018 10:35,Work with Business <b>Analyst</b> to propose new and innovative corporate IT initiatives along with technical solution. Experience in at least three among:,http://eg.indeed.com/viewjob?jk=b8d0e8d1b821984a&qd=_2otc9hbdFJBv5z8Fcdsn_VkPXhcvUX1HZ749DIVJhgFp4P5n2fNSScfjcUmJdU3ae_jCRRz8xvs6YSlRzVjZnCR0KOnBA0Od3c9AvWG2IU&indpubnum=9091824477922251&atk=1dlmkgoc8ovv9801,"indeed_clk(this,'3144');",30.00808,31.21093,b8d0e8d1b821984a,FALSE,FALSE,FALSE,الجيزة,منذ 11 شهر,
Network Engineer,IT Engineer,BituNil,القاهرة,C,EG,en,القاهرة,BituNil,19/10/2018 12:35,Troubleshooting any problem prohibiting users from accessing <b>network</b> objects. Maintain a strong working knowledge of all the equipment and systems supported by…,http://eg.indeed.com/viewjob?jk=73c921c4eac5de3a&qd=_2otc9hbdFJBv5z8Fcdsn62PtXJzjBMyAdJt27taav8EMRwYcTJDSbqHLJiHNrh9lNLuvnUCv3szicr8j-YF44YaVjopqMOwvtF5Jj1y_1Q&indpubnum=9091824477922251&atk=1dlmli6nkolng800,"indeed_clk(this,'9187');",30.06263,31.24967,73c921c4eac5de3a,FALSE,FALSE,FALSE,القاهرة,منذ 11 شهر,
Network Engineer,Service Engineer,Millensys,القاهرة,C,EG,en,القاهرة,Millensys,23/10/2018 09:39,"Experience in Computer/Server preparation, installation and configuration, <b>Network</b> configuration. Perfect command of English , French is an advantage.",http://eg.indeed.com/viewjob?jk=c445103d06764940&qd=_2otc9hbdFJBv5z8Fcdsn62PtXJzjBMyAdJt27taav8EMRwYcTJDSbqHLJiHNrh9lNLuvnUCv3szicr8j-YF4-PfrUG8DDJLqO7aSOPTw2M&indpubnum=9091824477922251&atk=1dlmli99holng800,"indeed_clk(this,'1809');",30.06263,31.24967,c445103d06764940,FALSE,FALSE,TRUE,القاهرة,منذ 11 شهر,
Data Analyst,Senior Software Developer,Microtech Software Solutions,الجيزة,GZ,EG,en,الجيزة,Microtech Software Solutions,23/10/2018 12:56,Work with project leaders and business <b>analyst</b> to understand software requirements. Develop software business solutions and ensure that the business application…,http://eg.indeed.com/viewjob?jk=3b0f50b8f4aca4fa&qd=_2otc9hbdFJBv5z8Fcdsn_VkPXhcvUX1HZ749DIVJhgFp4P5n2fNSScfjcUmJdU3ae_jCRRz8xvs6YSlRzVjZrT3POuRoU5bHpGp50wkhHs&indpubnum=9091824477922251&atk=1dlmkgqbrol37800,"indeed_clk(this,'5178');",30.00808,31.21093,3b0f50b8f4aca4fa,FALSE,FALSE,TRUE,الجيزة,منذ 11 شهر,
Network Engineer,Sr. Sales Engineer,Alico Egypt,القاهرة,C,EG,en,القاهرة,Alico Egypt,23/10/2018 13:40,Expanding clients and consultants <b>network</b>. Handling Sales Negotiation and technical Issues with clients. Identifying new projects and working on the pre-tender…,http://eg.indeed.com/viewjob?jk=5a375a8a7a15f5f3&qd=_2otc9hbdFJBv5z8Fcdsn62PtXJzjBMyAdJt27taav8EMRwYcTJDSbqHLJiHNrh9lNLuvnUCv3szicr8j-YF44YaVjopqMOwvtF5Jj1y_1Q&indpubnum=9091824477922251&atk=1dlmli7ccobp8800,"indeed_clk(this,'9851');",30.06263,31.24967,5a375a8a7a15f5f3,FALSE,FALSE,FALSE,القاهرة,منذ 11 شهر,
Network Engineer,Senior Systems Engineer: Prognosis,Dimension Data,Cape Town,WC,ZA,en,"Cape Town, Western Cape",Dimension Data,23/10/2018 22:40,Services Senior System <b>Engineers</b> perform routine <b>network</b> start up and shut down procedures to maintain system performance. Want to make a difference?,http://www.indeed.co.za/viewjob?jk=a7693fb0fc5f9b8a&qd=_2otc9hbdFJBv5z8Fcdsn62PtXJzjBMyAdJt27taav-mffMyGHnjMg9lViyIWBMyiNT7gNvkuUfJW4oNIIlpdH6_b6rY9Naw84zniMDuy4M&indpubnum=9091824477922251&atk=1dlmlhlhcbinr801,"indeed_clk(this,'1580');",-33.91667,18.41667,a7693fb0fc5f9b8a,FALSE,FALSE,FALSE,"Cape Town, Western Cape",11 months ago,
Data Analyst,Data Analyst (PTA),Datafin IT Recruitment,Cape Town,WC,ZA,en,"Cape Town, Western Cape",Datafin IT Recruitment,25/10/2018 20:42,A minimum of 2 years’ experience working as a <b>Data</b> <b>Analyst</b>. Excellent analytical skills with the ability to disseminate significant amounts of information with…,http://www.indeed.co.za/viewjob?jk=caca9f26f8e322a8&qd=_2otc9hbdFJBv5z8Fcdsn_VkPXhcvUX1HZ749DIVJhgjvA5GduQUuYYP0Z8IBpVCae_jCRRz8xvs6YSlRzVjZsZ6QjORCA95dg5gLtzESPI&indpubnum=9091824477922251&atk=1dlmkg76lf2hb802,"indeed_clk(this,'5557');",-33.91667,18.41667,caca9f26f8e322a8,FALSE,FALSE,FALSE,"Cape Town, Western Cape",11 months ago,
