jobtitle,company,city,state,country,language,formattedLocation,source,date,snippet,url,onmousedown,latitude,longitude,jobkey,sponsored,expired,indeedApply,formattedLocationFull,formattedRelativeTime,stations
Machine Learning Engineer,Business Capital Group,Paardeneiland,WC,ZA,en,"Paardeneiland, Western Cape",Indeed,"Thu, 14 Nov 2019 06:30:27 GMT", Contribute towards the design and deployment of <b>data</b> pipelines to source validate and transform <b>data</b>.  At least 5 year experience applying <b>data</b> science…,http://www.indeed.co.za/viewjob?jk=115b6e4dba6cefc0&qd=_2otc9hbdFJBv5z8Fcdsn2-b0nnsPWs6xM_ANye41tkV07CpYWUlemtjEVO0vTDEY_-taoSSxwsGCgAqkHstT_mLLiO7ijuO4vHeXqrsuqw&indpubnum=9091824477922251&atk=1drajn2dnblv4800,"indeed_clk(this,'9194');",-33.91667,18.46667,115b6e4dba6cefc0,False,False,True,"Paardeneiland, Western Cape",21 days ago,
Medical Bioinformatician,University of Cape Town,Cape Town,WC,ZA,en,"Cape Town, Western Cape",University of Cape Town,"Fri, 22 Nov 2019 12:57:35 GMT",From raw <b>data</b> quality checks and <b>data</b> cleaning to differential. These <b>data</b> will be combined. “Research <b>Scientist</b> Application – Bioinformatician” Closing date:,http://www.indeed.co.za/viewjob?jk=b660c3a04ef4b91f&qd=_2otc9hbdFJBv5z8Fcdsn2-b0nnsPWs6xM_ANye41tkV07CpYWUlemtjEVO0vTDEY_-taoSSxwsGCgAqkHstT_mLLiO7ijuO4vHeXqrsuqw&indpubnum=9091824477922251&atk=1drajn2dnblv4800,"indeed_clk(this,'9194');",-33.91667,18.41667,b660c3a04ef4b91f,False,False,True,"Cape Town, Western Cape",12 days ago,
Senior Research Officer (Contract),University of Cape Town,Cape Town,WC,ZA,en,"Cape Town, Western Cape",University of Cape Town,"Fri, 15 Nov 2019 12:57:26 GMT",Experience using REDCap or other <b>data</b> management software. Demonstrable research experience related to <b>data</b> safety and monitoring in a clinical trial.,http://www.indeed.co.za/viewjob?jk=7befc356897a63d4&qd=_2otc9hbdFJBv5z8Fcdsn2-b0nnsPWs6xM_ANye41tkV07CpYWUlemtjEVO0vTDEY_-taoSSxwsGCgAqkHstT_mLLiO7ijuO4vHeXqrsuqw&indpubnum=9091824477922251&atk=1drajn2dnblv4800,"indeed_clk(this,'9194');",-33.91667,18.41667,7befc356897a63d4,False,False,True,"Cape Town, Western Cape",19 days ago,
SENIOR DATA SCIENTIST,e-Merge IT Recruitment,Johannesburg,GP,ZA,en,"Johannesburg, Gauteng",e-Merge IT Recruitment,"Thu, 21 Nov 2019 12:39:47 GMT",They require the <b>Data</b> <b>Scientist</b> to have: We have a cool opportunity for <b>Data</b> <b>Scientists</b> to join a brilliant cognitive automation company that use a.i and…,http://www.indeed.co.za/viewjob?jk=b35c878b99ba6db4&qd=_2otc9hbdFJBv5z8Fcdsn2-b0nnsPWs6xM_ANye41tkV07CpYWUlemtjEVO0vTDEY_-taoSSxwsGCgAqkHstT_mLLiO7ijuO4vHeXqrsuqw&indpubnum=9091824477922251&atk=1drajn2dnblv4800,"indeed_clk(this,'9194');",-26.20227,28.04363,b35c878b99ba6db4,False,False,True,"Johannesburg, Gauteng",13 days ago,
Integration Delivery Lead (Snr ETL Developer/Data Integrator/Data Scientist,Potencia Corp,Johannesburg,GP,ZA,en,"Johannesburg, Gauteng",Indeed,"Wed, 13 Nov 2019 05:20:42 GMT",Big <b>Data</b> - At least 1 years experience. Oracle <b>Data</b> Integrator - At least 3 years experience. Pentaho <b>Data</b> Integration (Kettle) - At least 3 years experience.,http://www.indeed.co.za/viewjob?jk=85714fc476a371eb&qd=_2otc9hbdFJBv5z8Fcdsn2-b0nnsPWs6xM_ANye41tkV07CpYWUlemtjEVO0vTDEY_-taoSSxwsGCgAqkHstT_mLLiO7ijuO4vHeXqrsuqw&indpubnum=9091824477922251&atk=1drajn2dnblv4800,"indeed_clk(this,'9194');",-26.20227,28.04363,85714fc476a371eb,False,False,True,"Johannesburg, Gauteng",22 days ago,
Business Intelligence Analyst - 12 month contract,ZealHR,Pretoria,GP,ZA,en,"Pretoria, Gauteng",ZealHR,"Wed, 30 Oct 2019 16:12:17 GMT",Proven experience as a BI Developer or <b>Data</b> <b>Scientist</b>. Dimensional modeling) and <b>data</b> mining. Background in <b>data</b> warehouse design (e.g. Up to R37 000 per month.,http://www.indeed.co.za/viewjob?jk=5ac75dc09dd30853&qd=_2otc9hbdFJBv5z8Fcdsn2-b0nnsPWs6xM_ANye41tkV07CpYWUlemtjEVO0vTDEY_-taoSSxwsGCgAqkHstT_mLLiO7ijuO4vHeXqrsuqw&indpubnum=9091824477922251&atk=1drajn2dnblv4800,"indeed_clk(this,'9194');",-25.74486,28.18783,5ac75dc09dd30853,False,False,True,"Pretoria, Gauteng",30+ days ago,
Machine Learning Educator,Shaw Academy,Cape Town,WC,ZA,en,"Cape Town, Western Cape",Indeed,"Fri, 25 Oct 2019 13:54:00 GMT",A degree in <b>Data</b> Science. Shaw Academy is seeking an experienced <b>Data</b> <b>Scientist</b> to use their skills and knowledge to educate thousands of students every month…,http://www.indeed.co.za/viewjob?jk=1d6a4d8d2d5c45f8&qd=_2otc9hbdFJBv5z8Fcdsn2-b0nnsPWs6xM_ANye41tkV07CpYWUlemtjEVO0vTDEY_-taoSSxwsGCgAqkHstT_mLLiO7ijuO4vHeXqrsuqw&indpubnum=9091824477922251&atk=1drajn2dnblv4800,"indeed_clk(this,'9194');",-33.91667,18.41667,1d6a4d8d2d5c45f8,False,False,True,"Cape Town, Western Cape",30+ days ago,
Data Engineer,SET Consulting,Sandton,GP,ZA,en,"Sandton, Gauteng",SET Consulting,"Wed, 04 Dec 2019 12:27:11 GMT","Finance Group with extensive opportunities seeks a <b>Data</b> <b>Scientist</b> with exceptional ability to work with, analyse and communicate findings from <b>data</b>.",http://www.indeed.co.za/viewjob?jk=2be4ba0be96b2efc&qd=_2otc9hbdFJBv5z8Fcdsn2-b0nnsPWs6xM_ANye41tkV07CpYWUlemtjEVO0vTDEY_-taoSSxwsGCgAqkHstT_mLLiO7ijuO4vHeXqrsuqw&indpubnum=9091824477922251&atk=1drajn2dnblv4800,"indeed_clk(this,'9194');",-26.101385,28.04619,2be4ba0be96b2efc,False,False,True,"Sandton, Gauteng",20 hours ago,
Data Engineer,SET Consulting,Fairland,GP,ZA,en,"Fairland, Gauteng",SET Consulting,"Mon, 25 Nov 2019 12:26:52 GMT","In this role, take accountability for designing, developing, implementing and maintaining a scalable and robust <b>data</b> integration interfaces and <b>data</b> models that…",http://www.indeed.co.za/viewjob?jk=28ade3d3f6748ced&qd=_2otc9hbdFJBv5z8Fcdsn2-b0nnsPWs6xM_ANye41tkV07CpYWUlemtjEVO0vTDEY_-taoSSxwsGCgAqkHstT_mLLiO7ijuO4vHeXqrsuqw&indpubnum=9091824477922251&atk=1drajn2dnblv4800,"indeed_clk(this,'9194');",-26.128817,27.945786,28ade3d3f6748ced,False,False,True,"Fairland, Gauteng",9 days ago,
Hadoop Big Data Developer,Blackboard Recruitment,Sandton,GP,ZA,en,"Sandton, Gauteng",Indeed,"Wed, 20 Nov 2019 11:39:30 GMT",Creation of <b>data</b> ingestion pipelines between legacy <b>data</b> warehouses and the big <b>data</b> stack. The incumbent will have the opportunity of working directly across…,http://www.indeed.co.za/viewjob?jk=4dc6a039eb69bff5&qd=_2otc9hbdFJBv5z8Fcdsn2-b0nnsPWs6xM_ANye41tkV07CpYWUlemtjEVO0vTDEY_-taoSSxwsGCgAqkHstT_mLLiO7ijuO4vHeXqrsuqw&indpubnum=9091824477922251&atk=1drajn2dnblv4800,"indeed_clk(this,'9194');",-26.101385,28.04619,4dc6a039eb69bff5,False,False,True,"Sandton, Gauteng",14 days ago,
