Role,Country,Salary,Per,Yearly Earnings
Project Engineer,Morocco,18000,mo,21600.0
Project Engineer,Egypt,5000,mo,3720.0
QA,South Africa,,,
QA,Nigeria,,,
QA,Morocco,,,
QA,Egypt,,,
QA Analyst,South Africa,,,
QA Analyst,Nigeria,,,
QA Analyst,Morocco,,,
QA Analyst,Egypt,,,
QA Manager,South Africa,132755,yr,9027.34
QA Manager,Nigeria,,,
QA Manager,Morocco,,,
QA Manager,Egypt,,,
QA Tester,South Africa,,,
QA Tester,Nigeria,,,
QA Tester,Morocco,,,
QA Tester,Egypt,,,
Quality Assurance,South Africa,14654,mo,11957.664
Quality Assurance,Nigeria,,,
Quality Assurance,Morocco,,,
Quality Assurance,Egypt,3500,mo,2604.0
Quality Engineer,South Africa,,,
Quality Engineer,Nigeria,,,
Quality Engineer,Morocco,,,
Quality Engineer,Egypt,80000,yr,4960.0
Quality Manager,South Africa,,,
Quality Manager,Nigeria,,,
Quality Manager,Morocco,,,
Quality Manager,Egypt,,,
Safety Coordinator,South Africa,,,
Safety Coordinator,Nigeria,,,
Safety Coordinator,Morocco,,,
Safety Coordinator,Egypt,,,
Safety Manager,South Africa,89326,mo,72890.016
Safety Manager,Nigeria,,,
Safety Manager,Morocco,1500,mo,1800.0
Safety Manager,Egypt,,,
Security Analyst,South Africa,367307,yr,24976.876
Security Analyst,Nigeria,,,
Security Analyst,Morocco,,,
Security Analyst,Egypt,,,
Security Director,South Africa,,,
Security Director,Nigeria,,,
Security Director,Morocco,,,
Security Director,Egypt,,,
Security Manager,South Africa,,,
Security Manager,Nigeria,,,
Security Manager,Morocco,,,
Security Manager,Egypt,,,
Senior Software Engineer,South Africa,107705,yr,7323.9400000000005
Senior Software Engineer,Nigeria,,,
Senior Software Engineer,Morocco,,,
Senior Software Engineer,Egypt,8000,mo,5952.0
Software Developer,South Africa,462141,yr,31425.588000000003
Software Developer,Nigeria,200000,mo,6720.0
Software Developer,Morocco,6000,mo,7200.0
Software Developer,Egypt,4000,mo,2976.0
Software Engineer,South Africa,494727,yr,33641.436
Software Engineer,Nigeria,150000,mo,5040.0
Software Engineer,Morocco,9500,mo,11400.0
Software Engineer,Egypt,84500,yr,5239.0
Solutions Architect,South Africa,594352,yr,40415.936
Solutions Architect,Nigeria,,,
Solutions Architect,Morocco,540000,yr,54000.0
Solutions Architect,Egypt,200000,yr,12400.0
Systems Administrator,South Africa,79750,mo,65076.0
Systems Administrator,Nigeria,2000K,yr,5600.0
Systems Administrator,Morocco,7500,mo,9000.0
Systems Administrator,Egypt,4500,mo,3348.0
Systems Analyst,South Africa,400706,yr,27248.008
Systems Analyst,Nigeria,,,
Systems Analyst,Morocco,,,
Systems Analyst,Egypt,8250,mo,6138.0
Systems Engineer,South Africa,523208,yr,35578.144
Systems Engineer,Nigeria,2300K,yr,6440.0
Systems Engineer,Morocco,,,
Systems Engineer,Egypt,4000,mo,2976.0
Technical Support,South Africa,20913,mo,17065.008
Technical Support,Nigeria,,,
Technical Support,Morocco,,,
Technical Support,Egypt,2800,mo,2083.2
Technical Support Engineer,South Africa,,,
Technical Support Engineer,Nigeria,10000K,yr,28000.0
Technical Support Engineer,Morocco,,,
Technical Support Engineer,Egypt,4000,mo,2976.0
Test Analyst,South Africa,370561,yr,25198.148
Test Analyst,Nigeria,,,
Test Analyst,Morocco,,,
Test Analyst,Egypt,5500,mo,4092.0
UX Designer,South Africa,,,
UX Designer,Nigeria,,,
UX Designer,Morocco,,,
UX Designer,Egypt,,,
Web Developer,South Africa,26382,mo,21527.712
Web Developer,Nigeria,,,
Web Developer,Morocco,4000,mo,4800.0
Web Developer,Egypt,3000,mo,2232.0
